id_municipio;nombre_municipio;poblacion_total;total_hombres;total_mujeres
01014;Berantevilla;451;237;214
01016;Bernedo;540;321;219
01017;Campezo/Kanpezu;1072;564;508
01021;Elburgo/Burgelu;638;332;306
01022;Elciego;964;484;480
01023;Elvillar/Bilar;313;151;162
01047;Erriberabeitia;1423;762;661
01046;Erriberagoitia/Ribera Alta;828;494;334
01056;Harana/Valle de Arana;219;120;99
01901;Iruña Oka/Iruña de Oca;3597;1918;1679
01027;Iruraiz-Gauna;541;295;246
01019;Kripan;174;92;82
01020;Kuartango;401;232;169
01028;Labastida/Bastida;1566;815;751
01030;Lagrán;172;97;75
01031;Laguardia;1472;775;697
01032;Lanciego/Lantziego;708;361;347
01902;Lantarón;938;525;413
01033;Lapuebla de Labarca;865;445;420
01036;Laudio/Llodio;17917;8685;9232
01058;Legutio;2048;1066;982
01034;Leza;220;112;108
01039;Moreda de Álava/Moreda Araba;208;110;98
01041;Navaridas;197;108;89
01042;Okondo;1198;628;570
01043;Oyón-Oion;3405;1729;1676
01044;Peñacerrada-Urizaharra;302;180;122
01052;Samaniego;305;152;153
01053;San Millán/Donemiliaga;726;392;334
01054;Urkabustaiz;1434;750;684
01055;Valdegovía/Gaubea;1066;583;483
01057;Villabuena de Álava/Eskuernaga;285;148;137
01059;Vitoria-Gasteiz;255886;124348;131538
01060;Yécora/Iekora;249;127;122
01061;Zalduondo;196;106;90
01062;Zambrana;422;231;191
01018;Zigoitia;1821;974;847
01063;Zuia;2343;1227;1116
33001;Allande;1552;767;785
33002;Aller;10076;4946;5130
33003;Amieva;599;336;263
33004;Avilés;75518;35623;39895
33005;Belmonte de Miranda;1399;747;652
33006;Bimenes;1669;820;849
33007;Boal;1412;722;690
33008;Cabrales;1918;962;956
33009;Cabranes;1105;561;544
33010;Candamo;1932;944;988
33012;Cangas de Onís;6362;3068;3294
33011;Cangas del Narcea;11596;5640;5956
33013;Caravia;496;260;236
33014;Carreño;10177;4897;5280
33015;Caso;1449;837;612
33016;Castrillón;22103;10663;11440
33017;Castropol;3289;1607;1682
33018;Coaña;3304;1625;1679
33019;Colunga;3187;1580;1607
33020;Corvera de Asturias;15612;7641;7971
33021;Cudillero;4909;2420;2489
33022;Degaña;805;411;394
33023;Franco, El;3749;1827;1922
33024;Gijón;268313;126085;142228
33025;Gozón;10470;5117;5353
33026;Grado;9616;4668;4948
33027;Grandas de Salime;765;392;373
33028;Ibias;1121;645;476
33029;Illano;288;149;139
33030;Illas;1061;538;523
33031;Langreo;37978;18080;19898
33032;Laviana;12355;5924;6431
33033;Lena;10312;4969;5343
33035;Llanera;13948;6887;7061
33036;Llanes;13524;6574;6950
33037;Mieres;36195;17187;19008
33038;Morcín;2540;1277;1263
33039;Muros de Nalón;1955;949;1006
33040;Nava;5186;2550;2636
33041;Navia;8136;3913;4223
33042;Noreña;5058;2430;2628
33043;Onís;746;401;345
33044;Oviedo;217584;100640;116944
33045;Parres;5208;2554;2654
33046;Peñamellera Alta;535;281;254
33047;Peñamellera Baja;1221;604;617
33048;Pesoz;138;75;63
33049;Piloña;6822;3329;3493
33050;Ponga;579;342;237
33051;Pravia;7830;3823;4007
33052;Proaza;709;419;290
33053;Quirós;1175;682;493
33054;Regueras, Las;1888;960;928
33055;Ribadedeva;1731;842;889
33056;Ribadesella;5548;2638;2910
33057;Ribera de Arriba;1857;931;926
33058;Riosa;1755;891;864
33059;Salas;4806;2383;2423
33061;San Martín de Oscos;344;170;174
33060;San Martín del Rey Aurelio;15431;7395;8036
33063;San Tirso de Abres;412;193;219
33062;Santa Eulalia de Oscos;431;223;208
33064;Santo Adriano;286;140;146
33065;Sariego;1271;612;659
33066;Siero;52194;25493;26701
33067;Sobrescobio;851;451;400
33068;Somiedo;1083;640;443
33069;Soto del Barco;3818;1869;1949
33070;Tapia de Casariego;3652;1773;1879
33071;Taramundi;576;276;300
33072;Teverga;1565;862;703
33073;Tineo;8857;4477;4380
33034;Valdés;10958;5397;5561
33074;Vegadeo;3885;1868;2017
33075;Villanueva de Oscos;261;132;129
33076;Villaviciosa;15000;7421;7579
33077;Villayón;1104;569;535
33078;Yernes y Tameza;133;70;63
05001;Adanero;204;115;89
05002;Adrada, La;2727;1387;1340
05005;Albornos;175;90;85
05007;Aldeanueva de Santa Cruz;100;53;47
05008;Aldeaseca;210;104;106
05010;Aldehuela, La;148;76;72
05012;Amavida;135;73;62
05013;Arenal, El;964;463;501
05014;Arenas de San Pedro;6464;3143;3321
05015;Arevalillo;60;28;32
05016;Arévalo;7768;3769;3999
05017;Aveinte;75;44;31
05018;Avellaneda;24;15;9
05019;Ávila;57741;27485;30256
05021;Barco de Ávila, El;2276;1097;1179
05022;Barraco, El;2005;1010;995
05023;Barromán;176;95;81
05024;Becedas;164;88;76
05025;Becedillas;70;37;33
05026;Bercial de Zapardiel;178;94;84
05027;Berlanas, Las;326;174;152
05029;Bernuy-Zapardiel;88;49;39
05030;Berrocalejo de Aragona;48;28;20
05033;Blascomillán;169;87;82
05034;Blasconuño de Matacabras;15;9;6
05035;Blascosancho;106;55;51
05036;Bohodón, El;107;56;51
05037;Bohoyo;215;125;90
05038;Bonilla de la Sierra;180;108;72
05039;Brabos;39;26;13
05040;Bularros;57;37;20
05041;Burgohondo;1240;650;590
05042;Cabezas de Alambre;156;74;82
05043;Cabezas del Pozo;89;43;46
05044;Cabezas del Villar;234;131;103
05045;Cabizuela;88;45;43
05046;Canales;36;20;16
05047;Candeleda;5001;2514;2487
05048;Cantiveros;97;57;40
05049;Cardeñosa;419;228;191
05051;Carrera, La;161;91;70
05052;Casas del Puerto;85;45;40
05053;Casasola;66;39;27
05054;Casavieja;1410;726;684
05055;Casillas;663;361;302
05056;Castellanos de Zapardiel;135;75;60
05057;Cebreros;3256;1691;1565
05058;Cepeda la Mora;67;40;27
05067;Chamartín;61;35;26
05059;Cillán;72;43;29
05060;Cisla;99;54;45
05061;Colilla, La;366;189;177
05062;Collado de Contreras;143;72;71
05063;Collado del Mirón;24;14;10
05064;Constanzana;98;58;40
05065;Crespos;465;247;218
05066;Cuevas del Valle;508;282;226
05903;Diego del Carpio;108;67;41
05069;Donjimeno;76;42;34
05070;Donvidas;31;20;11
05072;Espinosa de los Caballeros;102;53;49
05073;Flores de Ávila;271;144;127
05074;Fontiveros;716;370;346
05075;Fresnedilla;106;52;54
05076;Fresno, El;595;307;288
05077;Fuente el Saúz;158;88;70
05078;Fuentes de Año;89;52;37
05079;Gallegos de Altamiros;58;34;24
05080;Gallegos de Sobrinos;46;23;23
05081;Garganta del Villar;41;27;14
05082;Gavilanes;547;302;245
05083;Gemuño;150;78;72
05085;Gil García;44;22;22
05084;Gilbuena;49;33;16
05086;Gimialcón;74;45;29
05087;Gotarrendura;167;61;106
05088;Grandes y San Martín;36;17;19
05089;Guisando;488;245;243
05090;Gutierre-Muñoz;61;32;29
05092;Hernansancho;147;82;65
05093;Herradón de Pinares;487;275;212
05094;Herreros de Suso;149;83;66
05095;Higuera de las Dueñas;275;154;121
05096;Hija de Dios, La;80;48;32
05097;Horcajada, La;465;235;230
05099;Horcajo de las Torres;454;253;201
05100;Hornillo, El;266;146;120
05102;Hoyo de Pinares, El;2153;1114;1039
05101;Hoyocasero;328;187;141
05103;Hoyorredondo;60;32;28
05106;Hoyos de Miguel Muñoz;27;15;12
05104;Hoyos del Collado;29;17;12
05105;Hoyos del Espino;345;182;163
05107;Hurtumpascual;43;26;17
05108;Junciana;43;24;19
05109;Langa;440;224;216
05110;Lanzahíta;799;407;392
05113;Llanos de Tormes, Los;65;30;35
05112;Losar del Barco, El;116;67;49
05114;Madrigal de las Altas Torres;1338;690;648
05115;Maello;705;383;322
05116;Malpartida de Corneja;99;50;49
05117;Mamblas;197;112;85
05118;Mancera de Arriba;71;38;33
05119;Manjabálago y Ortigosa de Rioalmar;36;18;18
05120;Marlín;34;21;13
05121;Martiherrero;356;186;170
05122;Martínez;114;61;53
05123;Mediana de Voltoya;117;61;56
05124;Medinilla;78;40;38
05125;Mengamuñoz;56;29;27
05126;Mesegar de Corneja;76;40;36
05127;Mijares;730;405;325
