municipio;nombre;provincia;superficie;latitud;longitud;altitud;rango tamaño población;poblacion;poblacion hombres;poblacion mujeres;densidad poblacional;indice gini;P80P20;Renta media hogar;renta media unidad consumo;renta media persona;salarios;pensiones;otros ingresos;otras prestaciones;desempleo;edad media;votos totales;votos blancos;participacion;pct_psoe;pct_pp;pct_vox;pct_cs;pct_up_sumar;pct_erc;pct_jxcat;pct_cup;pct_pnv;pct_ehbildu;pct_bng;pct_cc;pct_prc;pct_naplus;pct_teruel;pct_otros
17051;Cistella;Girona;25.6102;42.26853694;2.84850122;130.0;101-500;298;149;149;11.63598878571819;27.600000000000005;2.5;43263.0;25220.0;17125.0;53.79999999999999;19.1;23.2;2.9;1.0;;158;0;70.74235807860262;0.196203;0.044304;0.088608;0.0;0.088608;0.107595;0.28481;0.14557;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.044304
17054;Colera;Girona;24.208473;42.40421548;3.14982626;22.0;101-500;479;247;232;19.78646071563456;33.0;2.5;39067.0;25564.0;18926.0;49.5;27.100000000000005;19.2;2.6;1.7;;270;1;70.40816326530613;0.288889;0.085185;0.085185;0.0;0.077778;0.140741;0.240741;0.066667;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.014815
17055;Colomers;Girona;4.267;42.08406621;2.98758049;39.0;101-500;207;104;103;48.51183501288961;26.399999999999995;2.1;44729.0;28280.0;19555.0;56.29999999999999;23.0;15.300000000000002;4.9;0.6;;141;1;86.58536585365853;0.148936;0.035461;0.014184;0.0;0.134752;0.29078;0.191489;0.12766;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.056738
17057;Corçà;Girona;16.0885;41.9893624;3.01707993;43.0;1001-2000;1295;666;629;80.49227709233304;26.0;2.1;47069.0;26144.0;17254.0;56.0;20.0;21.5;1.7;0.8000000000000002;;673;7;69.44162436548224;0.271917;0.05052;0.031204;0.0;0.087667;0.213967;0.243685;0.074294;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.026746
17056;Cornellà del Terri;Girona;27.8516;42.08983634;2.81573428;96.0;2001-5000;2401;1204;1197;86.20689655172413;25.399999999999995;2.2;50182.0;26094.0;16734.0;60.79999999999999;18.6;16.6;2.9;1.1;;1112;10;66.6855845629966;0.179856;0.06205;0.032374;0.0;0.084532;0.183453;0.356115;0.07554;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.026079
17058;Crespià;Girona;11.3181;42.18696154;2.79921562;137.0;101-500;242;125;117;21.381680670783968;28.600000000000005;2.3;42433.0;22911.0;14843.0;53.4;19.6;21.2;4.2;1.7;;129;1;73.59550561797754;0.193798;0.062016;0.023256;0.0;0.178295;0.100775;0.302326;0.093023;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.046512
17901;Cruïlles, Monells i Sant Sadurní de l'Heura;Girona;99.654488;41.95621822;2.99099519;111.0;1001-2000;1323;675;648;13.275869722997323;29.7;2.2;49459.0;27038.0;17929.0;53.5;17.2;25.3;2.9;1.1;;638;6;65.33864541832669;0.233542;0.054859;0.037618;0.0;0.119122;0.188088;0.22884;0.105016;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.032915
17060;Darnius;Girona;34.893;42.36877743;2.83110073;187.0;501-1000;546;287;259;15.647837675178403;27.7;2.2;33851.0;20555.0;14461.0;55.1;25.0;14.6;3.4;1.9;;262;3;68.70229007633588;0.206107;0.148855;0.09542;0.0;0.122137;0.179389;0.198473;0.034351;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.015267
17061;Das;Girona;14.829059;42.36086604;1.87037861;1221.0;101-500;257;132;125;17.330836703798937;44.20000000000001;2.4;66417.0;36873.0;25873.0;58.6;13.5;24.3;3.0;0.6;;138;1;68.75;0.050725;0.202899;0.07971;0.0;0.072464;0.224638;0.246377;0.057971;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.065217
17062;Escala, L';Girona;16.263099999999998;42.12467235;3.13299609;13.0;10001-20000;10478;5267;5211;644.2806107076757;31.571428571428573;2.6;35975.42857142857;21584.285714285717;14979.0;55.285714285714285;20.5;18.557142857142857;3.442857142857143;2.257142857142857;;3572;21;58.39357429718876;0.302912;0.098544;0.078387;0.0;0.115622;0.141937;0.18533;0.056271;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.020997
17063;Espinelves;Girona;17.481594;41.86884532;2.41749953;750.0;101-500;248;121;127;14.186349368369955;26.3;2.3;41469.0;26201.0;17469.0;62.20000000000001;16.8;17.5;2.7000000000000006;0.8000000000000002;;140;1;72.58883248730965;0.128571;0.007143;0.007143;0.0;0.085714;0.264286;0.307143;0.171429;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.028571
