id_municipio;nombre_municipio;id_provincia;superficie_km2;perimetro;longitud;latitud;altitud
15062;Outes;15;99.735234;66763;-8.908353033;42.84286919;13.0
15064;Paderne;15;39.830867;40830;-8.173536814;43.28555892;160.0
15065;Padrón;15;48.374162999999996;52189;-8.6604106;42.73732717;6.0
15066;O Pino;15;132.145238;85618;-8.362484344;42.90489725;287.0
15067;A Pobra do Caramiñal;15;32.511691;37278;-8.939010739;42.60323453;8.0
15068;Ponteceso;15;91.96882;72833;-8.900697261;43.24325308;17.0
15069;Pontedeume;15;29.259647;36427;-8.171862778;43.40790879;5.0
15070;As Pontes de García Rodríguez;15;249.37296800000001;98154;-7.852924319;43.45091414;360.0
15071;Porto do Son;15;94.57751;70679;-9.006363639;42.72461934;13.0
15072;Rianxo;15;58.79103;46149;-8.818353433;42.65198057;11.0
15073;Ribeira;15;68.828758;97706;-8.993336922;42.55491668;10.0
15074;Rois;15;92.9267;53438;-8.690322783;42.76075414;67.0
15075;Sada;15;27.829099999999997;32507;-8.250528678;43.35942224;6.0
15076;San Sadurniño;15;98.979624;58725;-8.072793347;43.53278518;58.0
15077;Santa Comba;15;203.702339;79450;-8.820120408;43.03653809;355.0
15078;Santiago de Compostela;15;220.00509999999997;93404;-8.546107172;42.87999954;254.0
15079;Santiso;15;67.387438;55468;-8.038877669;42.84611212;363.0
15080;Sobrado;15;120.5715;70426;-8.022187808;43.04031852;508.0
15081;As Somozas;15;70.91442699999999;56167;-7.943973281;43.53478328;226.0
15082;Teo;15;79.2467;60357;-8.549002886;42.79505474;157.0
15083;Toques;15;77.925544;40045;-7.972861119;42.9673783;464.0
15084;Tordoia;15;124.55136200000001;80001;-8.552053811;43.08839188;367.0
15085;Touro;15;115.340685;84945;-8.303804081;42.86713874;318.0
15086;Trazo;15;101.30278200000001;63690;-8.517338283;43.02662965;322.0
15087;Valdoviño;15;88.22246100000001;71911;-8.143475986;43.60685535;71.0
15088;Val do Dubra;15;108.639715;48966;-8.656218314;43.02659978;201.0
15089;Vedra;15;52.778809;50623;-8.482097794;42.77661682;168.0
15090;Vilasantar;15;59.168338000000006;49231;-8.121643083;43.07283144;485.0
15091;Vilarmaior;15;30.347013999999998;37004;-8.130038039;43.35476927;275.0
15092;Vimianzo;15;187.26786199999998;75028;-9.034413903;43.11025393;132.0
15093;Zas;15;133.285273;79109;-8.916118206;43.09971961;229.0
15901;Cariño;15;47.19;46823;-7.868424967;43.74035104;7.0
15902;Oza-Cesuras;15;151.623037;77736;-8.186335086;43.21492825;231.0
16001;Abia de la Obispalía;16;63.054700000000004;37776;-2.39574988;40.01915175;1022.0
16002;El Acebrón;16;22.117399999999996;30919;-2.983357201;39.90861797;764.0
16003;Alarcón;16;119.95857;108002;-2.0862032;39.54670505;840.0
16004;Albaladejo del Cuende;16;55.191371;32006;-2.23018373;39.80787144;915.0
16005;Albalate de las Nogueras;16;40.108202999999996;25594;-2.27664306;40.36623912;852.0
16006;Albendea;16;38.197158;30458;-2.41843336;40.48735502;831.0
16007;La Alberca de Záncara;16;100.62270000000001;41755;-2.49058346;39.51323012;811.0
16008;Alcalá de la Vega;16;69.252475;37828;-1.52560035;40.02719047;1194.0
16009;Alcantud;16;57.631818;33089;-2.33196424;40.54840902;843.0
16010;Alcázar del Rey;16;46.498166;27557;-2.80919335;40.06337697;883.0
16011;Alcohujate;16;27.289978;23595;-2.61538848;40.41737388;810.0
16012;Alconchel de la Estrella;16;42.941809000000006;26240;-2.57570176;39.71896379;839.0
16013;Algarra;16;41.913576000000006;35986;-1.43592559;40.00159068;1267.0
16014;Aliaguilla;16;105.910235;41887;-1.32526984;39.74122675;1005.0
16015;La Almarcha;16;64.358014;53668;-2.38281385;39.68503932;874.0
16016;Almendros;16;63.113661;44083;-2.884543767;39.92077964;869.0
16017;Almodóvar del Pinar;16;95.02915899999999;41017;-1.90192562;39.72560852;994.0
16018;Almonacid del Marquesado;16;47.152632000000004;32154;-2.76850729;39.8231081;892.0
16019;Altarejos;16;91.321287;44839;-2.35613584;39.91246073;883.0
16020;Arandilla del Arroyo;16;19.476673;19728;-2.38492574;40.51035241;890.0
16022;Arcos de la Sierra;16;40.50335;33347;-2.11347366;40.34698523;1000.0
16023;Chillarón de Cuenca;16;39.1711;34610;-2.22135961;40.10436735;914.0
16024;Arguisuelas;16;49.610105999999995;40483;-1.82059159;39.83199991;1044.0
16025;Arrancacepas;16;18.557745999999998;19320;-2.35834834;40.30419845;936.0
16026;Atalaya del Cañavate;16;46.360531;29168;-2.25299397;39.51727862;813.0
16027;Barajas de Melo;16;136.8332;72831;-2.91599075;40.12245288;701.0
16029;Barchín del Hoyo;16;65.252989;36305;-2.06906402;39.66379174;950.0
16030;Bascuñana de San Pedro;16;19.6282;18239;-2.228454;40.21359995;1060.0
16031;Beamud;16;23.3797;21694;-1.82938617;40.18615072;1334.0
16032;Belinchón;16;80.3005;45530;-3.057812812;40.04859484;750.0
16033;Belmonte;16;92.633;54941;-2.70451009;39.55798889;756.0
16034;Belmontejo;16;52.233315000000005;31309;-2.34612338;39.82226035;870.0
16035;Beteta;16;115.00489999999999;83975;-2.07558452;40.57221703;1217.0
16036;Boniches;16;53.022912;32190;-1.62469113;39.9855163;1033.0
16038;Buciegas;16;9.005864;13452;-2.461543333;40.33588696;816.0
16039;Buenache de Alarcón;16;64.156596;35634;-2.15903171;39.65581023;821.0
16040;Buenache de la Sierra;16;57.6737;30948;-2.00094068;40.13533403;1301.0
16041;Buendía;16;88.50280500000001;48284;-2.757501047;40.36647233;739.0
16042;Campillo de Altobuey;16;172.409792;52333;-1.79608286;39.61084466;939.0
16043;Campillos-Paravientos;16;54.34342899999999;33237;-1.54826134;39.97431329;1177.0
16044;Campillos-Sierra;16;38.026982;28108;-1.69807843;40.1001606;1253.0
16045;Canalejas del Arroyo;16;60.94748;34637;-2.494504335;40.36922037;785.0
16046;Cañada del Hoyo;16;89.75450000000001;45265;-1.8994922;39.97046084;1022.0
16047;Cañada Juncosa;16;42.715555;51639;-2.2526313;39.54893005;807.0
16048;Cañamares;16;40.518883;28263;-2.23965923;40.45314577;883.0
16049;El Cañavate;16;36.102743000000004;24254;-2.30227644;39.54259817;792.0
16050;Cañaveras;16;73.628267;34917;-2.39595473;40.35979825;817.0
16051;Cañaveruelas;16;33.574959;39674;-2.637528873;40.40115006;792.0
16052;Cañete;16;86.960777;43410;-1.6476273;40.04109436;1074.0
16053;Cañizares;16;76.23859999999999;50545;-2.19178825;40.51919829;1063.0
