ID_MUNICIPIO;FECHA_ELECCION;V_+MAS+_2015;V_AJU_2015;V_ARAPV_2015;V_AVANT_2015;V_C's_2015;V_CANARIAS_DE_2015;V_CCD_2015;V_CCa-PNC_2015;V_CENTRO_MODE_2015;V_CILUS_2015;V_CRA_2015;V_DL_2015;V_DN_2015;V_EAJ-PNV_2015;V_EB_2015;V_EH_Bildu_2015;V_EL_PI_2015;V_EN_COMÚ_2015;V_EN_POSITIU_2015;V_ERC-CATSI_2015;V_EU-eX_2015;V_FDEE_2015;V_FE_de_las_J_2015;V_GBAI_2015;V_IFem_2015;V_IU-UPeC_2015;V_Independien_2015;V_JS,PC_2015;V_Ln_2015;V_MÉS_2015;V_NÓS_2015;V_OE_2015;V_P-LIB_2015;V_PACMA_2015;V_PCOE_2015;V_PCPE_2015;V_PFyV_2015;V_PH_2015;V_PLD_2015;V_PODEMOS_2015;V_PODEMOS-COM_2015;V_PODEMOS-En_2015;V_PP_2015;V_PREPAL_2015;V_PSOE_2015;V_PT_2015;V_PUM+J_2015;V_RECORTES_CE_2015;V_SAIn_2015;V_SOLUCIONA_2015;V_SOMVAL_2015;V_UPYD_2015;V_VOX_2015;V_X_LA_IZQUIE_2015;V_mlgXSÍ_2015;V_uniocat_2015
01049;2015-12;0;0;0;0;4;0;0;0;0;0;0;0;0;37;0;20;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;23;0;0;14;0;6;0;0;1;0;0;0;0;0;0;0;0
01051;2015-12;0;0;0;0;74;0;0;0;0;0;0;0;0;551;4;538;0;0;0;0;0;0;0;0;0;65;0;0;0;0;0;2;0;19;0;0;0;0;0;686;0;0;213;0;211;0;0;7;0;0;0;2;0;0;0;0
01052;2015-12;0;0;0;0;2;0;0;0;0;0;0;0;0;55;1;34;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;0;18;0;41;0;0;0;0;0;0;0;0;0;0;0
01053;2015-12;0;0;0;0;12;0;0;0;0;0;0;0;0;108;1;82;0;0;0;0;0;0;0;0;0;7;0;0;1;0;0;0;0;2;0;1;0;0;0;97;0;0;30;0;15;0;0;3;0;0;0;4;0;0;0;0
01054;2015-12;0;0;0;0;14;0;0;0;0;0;0;0;0;155;2;224;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;1;0;0;0;178;0;0;50;0;51;0;0;1;0;0;0;0;0;0;0;0
01055;2015-12;0;0;0;0;29;0;0;0;0;0;0;0;0;142;0;59;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;2;0;0;0;0;0;115;0;0;128;0;56;0;0;0;0;0;0;2;0;0;0;0
01056;2015-12;0;0;0;0;3;0;0;0;0;0;0;0;0;70;0;23;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;18;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0
01057;2015-12;0;0;0;0;8;0;0;0;0;0;0;0;0;78;0;58;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;22;0;0;22;0;10;0;0;1;0;0;0;0;0;0;0;0
01058;2015-12;0;0;0;0;25;0;0;0;0;0;0;0;0;173;2;284;0;0;0;0;0;0;0;0;0;19;0;0;1;0;0;0;0;7;0;0;0;0;0;205;0;0;54;0;50;0;0;2;0;0;0;3;0;0;0;0
01059;2015-12;0;0;0;0;8753;0;0;0;0;0;0;0;0;17643;394;13476;0;0;0;0;0;0;0;0;0;5550;0;0;62;0;0;80;0;1099;0;138;0;0;0;37065;0;0;27774;0;20605;0;0;481;0;0;0;647;0;0;0;0
01060;2015-12;0;0;0;0;12;0;0;0;0;0;0;0;0;40;0;9;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;1;0;0;0;0;0;21;0;0;60;0;11;0;0;0;0;0;0;0;0;0;0;0
01061;2015-12;0;0;0;0;6;0;0;0;0;0;0;0;0;39;0;42;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;33;0;0;2;0;6;0;0;0;0;0;0;0;0;0;0;0
01062;2015-12;0;0;0;0;13;0;0;0;0;0;0;0;0;43;0;13;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;1;0;0;0;0;0;54;0;0;54;0;26;0;0;0;0;0;0;2;0;0;0;0
01063;2015-12;0;0;0;0;73;0;0;0;0;0;0;0;0;328;9;282;0;0;0;0;0;0;0;0;0;29;0;0;1;0;0;3;0;3;0;0;0;0;0;306;0;0;162;0;96;0;0;2;0;0;0;6;0;0;0;0
01901;2015-12;0;0;0;0;117;0;0;0;0;0;0;0;0;178;7;123;0;0;0;0;0;0;0;0;0;72;0;0;0;0;0;1;0;18;0;1;0;0;0;495;0;0;316;0;315;0;0;5;0;0;0;4;0;0;0;0
01902;2015-12;0;0;0;0;31;0;0;0;0;0;0;0;0;114;0;48;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;6;0;2;0;0;0;121;0;0;110;0;63;0;0;0;0;0;0;6;0;0;0;0
02001;2015-12;0;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;1;0;0;0;0;0;36;0;0;249;0;179;0;0;0;0;0;0;2;0;0;0;0
02002;2015-12;0;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;25;0;0;188;0;149;0;0;0;0;0;0;0;0;0;0;0
02003;2015-12;0;0;0;0;18480;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4162;0;0;0;0;0;0;0;869;0;154;0;0;37;16495;0;0;36149;0;22306;0;0;179;0;0;0;714;324;0;0;0
02004;2015-12;0;0;0;0;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;38;0;0;215;0;191;0;0;0;0;0;0;0;0;0;0;0
02005;2015-12;0;0;0;0;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;0;1;0;0;0;39;0;0;201;0;132;0;0;0;0;0;0;0;0;0;0;0
