municipio;nombre;provincia;superficie;latitud;longitud;altitud;rango tamaño población;poblacion;poblacion hombres;poblacion mujeres;densidad poblacional;indice gini;P80P20;Renta media hogar;renta media unidad consumo;renta media persona;salarios;pensiones;otros ingresos;otras prestaciones;desempleo;votos totales;imputado
02036;Golosalvo;Albacete;28.176676;39.23996013;-1.63626863;740.0;101-500;104;55;49;3.690996056454636;27.433333333333334;2.2333333333333334;23490.333333333332;13741.666666666666;9224.0;48.25;29.899999999999995;11.95;5.2;3.1;66;True
02037;Hellín;Albacete;779.2912;38.51218953;-1.70344921;570.0;20001-50000;30306;15162;15144;38.88918545467984;29.615384615384617;2.465384615384615;23638.69230769231;13578.846153846154;9023.23076923077;58.48461538461538;21.746153846153845;9.765384615384615;5.938461538461539;4.084615384615384;14520;False
02038;Herrera, La;Albacete;63.4258;38.9621774;-2.12637236;714.0;101-500;326;167;159;5.139864219292464;30.5;2.5;24196.0;14620.0;10402.0;56.20000000000001;18.1;19.9;2.9;3.0;193;False
02039;Higueruela;Albacete;205.454904;38.96455026;-1.44535609;1041.0;1001-2000;1158;602;556;5.636273349795535;28.899999999999995;2.4;25375.0;15324.0;10320.0;53.79999999999999;24.2;15.300000000000002;4.5;2.2;726;False
02040;Hoya-Gonzalo;Albacete;114.574972;38.95787352;-1.55687053;929.0;501-1000;647;345;302;5.646957522276331;28.899999999999995;2.3;31603.0;17492.0;11405.0;58.0;25.0;9.1;5.1;2.7000000000000006;473;False
02041;Jorquera;Albacete;67.9401;39.17457441;-1.52061391;624.0;101-500;355;193;162;5.225191013848964;30.3;2.1;18455.0;13058.0;9941.0;40.3;38.2;14.4;3.7000000000000006;3.4;236;False
02042;Letur;Albacete;264.4016;38.36632081;-2.10096881;735.0;501-1000;919;449;470;3.4757732177112395;30.600000000000005;2.2;20918.0;14122.0;9901.0;46.20000000000001;28.7;14.199999999999998;6.599999999999999;4.3;576;False
02043;Lezuza;Albacete;360.6117;38.94878996;-2.35387427;913.0;1001-2000;1358;705;653;3.765823460525546;26.7;2.2;22765.0;14173.0;9855.0;48.70000000000001;22.7;21.600000000000005;3.9;3.1;852;False
02044;Liétor;Albacete;313.1896;38.54083745;-1.95479319;641.0;1001-2000;1175;610;565;3.751721002229959;28.3;2.2;19959.0;13111.0;9297.0;47.4;35.7;7.7;5.3;4.0;651;False
02045;Madrigueras;Albacete;73.3455;39.23680339;-1.7997012;688.0;2001-5000;4652;2380;2272;63.42584071279083;29.557142857142857;2.4857142857142853;26914.42857142857;15776.0;10454.57142857143;60.285714285714285;20.642857142857142;13.171428571428573;3.6;2.3428571428571425;2714;False
02046;Mahora;Albacete;108.1491;39.21303088;-1.72481837;663.0;1001-2000;1383;706;677;12.787901147582366;28.2;2.5;23506.0;14327.0;9773.0;60.0;22.3;10.3;4.1;3.2999999999999994;858;False
02047;Masegoso;Albacete;103.870257;38.71877813;-2.31511768;1108.0;101-500;110;59;51;1.0590134575290404;37.3;2.7999999999999994;25681.0;19610.0;14711.0;35.0;37.3;21.2;4.2;2.4;81;False
02048;Minaya;Albacete;69.9811;39.27118701;-2.31961973;723.0;1001-2000;1501;774;727;21.448648277892172;26.8;2.2;22133.0;13550.0;9354.0;53.6;24.899999999999995;14.300000000000002;4.9;2.3;892;False
02049;Molinicos;Albacete;143.588298;38.46778179;-2.23898151;851.0;501-1000;852;441;411;5.9336311654031855;27.899999999999995;2.2;19176.0;13952.0;10094.0;45.1;36.2;9.4;5.3;4.0;495;False
02050;Montalvos;Albacete;24.6613;39.16721439;-2.02769341;709.0;<100;97;52;45;3.93328818837612;28.849999999999998;2.3;21867.5;14147.5;9904.5;48.25;29.899999999999995;11.95;5.2;3.1;65;True
02051;Montealegre del Castillo;Albacete;177.4117;38.78717469;-1.32487672;810.0;2001-5000;2051;1043;1008;11.56068060900155;28.74;2.22;23733.0;14032.8;9469.2;53.1;21.42;18.880000000000003;4.5;2.1;1088;False
02052;Motilleja;Albacete;23.8244;39.17948885;-1.79025762;676.0;501-1000;571;307;264;23.9670254025285;29.100000000000005;2.5;23621.0;14329.0;10152.0;56.1;24.600000000000005;10.9;5.900000000000001;2.5;364;False
02053;Munera;Albacete;230.5383;39.03954575;-2.4830388;929.0;2001-5000;3435;1763;1672;14.899910340277517;24.457142857142856;2.1142857142857143;22691.85714285714;13368.857142857143;8926.0;58.0;23.414285714285715;11.357142857142858;4.471428571428572;2.7285714285714286;2028;False
02054;Navas de Jorquera;Albacete;42.259722;39.28099513;-1.7189485;708.0;501-1000;517;266;251;12.23387129711833;25.5;2.1;24412.0;14740.0;9916.0;56.0;22.600000000000005;13.199999999999998;5.2;3.1;283;False
02055;Nerpio;Albacete;436.742;38.14824043;-2.30224029;1085.0;1001-2000;1191;660;531;2.7270104546849168;26.2;2.1;19430.0;12561.0;8800.0;48.0;29.899999999999995;11.6;6.599999999999999;3.9;666;False
02056;Ontur;Albacete;54.409;38.61472661;-1.49888166;653.0;1001-2000;1987;1009;978;36.51969343307174;28.360000000000003;2.1;21626.2;13050.6;9020.8;44.06;32.14;13.18;7.459999999999999;3.2;1168;False
02057;Ossa de Montiel;Albacete;243.7076;38.96201035;-2.74272664;898.0;2001-5000;2307;1154;1153;9.466262028759054;27.15;2.1750000000000003;22184.25;13999.5;9560.75;58.1;24.5;8.9;4.9;3.575;1318;False
02058;Paterna del Madera;Albacete;112.338382;38.59729435;-2.34555766;1126.0;101-500;348;190;158;3.0977836230541405;30.5;2.4;18475.0;13932.0;10353.0;47.5;33.3;6.900000000000001;8.8;3.6;176;False
02060;Peñas de San Pedro;Albacete;158.76059999999998;38.72688881;-2.00212787;1010.0;1001-2000;1399;817;582;8.812010032715927;30.8;2.5;23066.0;16848.0;13202.0;55.29999999999999;23.899999999999995;15.1;3.2999999999999994;2.4;932;False
02059;Peñascosa;Albacete;189.258047;38.67153536;-2.41040499;1169.0;101-500;334;184;150;1.7647862550330555;29.399999999999995;2.5;22248.0;15729.0;11529.0;54.0;29.899999999999995;9.1;4.0;2.9;217;False
