id_municipio;nombre_municipio;total_paro;p_h_u25;p_h_25_44;p_h_o45;p_m_u25;p_m_25_44;p_m_o45;p_agr;p_ind;p_con;p_ser;p_sin_empleo;total_contratos;c_h_indef;c_h_temp;c_h_conv;c_m_indef;c_m_temp;c_m_conv;c_agr;c_ind;c_con;c_ser
44230;TORREVELILLA;12;1;2;3;0;2;4;2;1;0;9;0;1;0;1;0;0;0;0;1;0;0;0
44231;TORRIJAS;2;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
44232;TORRIJO DEL CAMPO;16;2;1;2;2;5;4;1;3;1;7;4;3;0;3;0;0;0;0;2;0;0;1
44234;TRAMACASTIEL;4;0;0;3;0;0;1;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0
44235;TRAMACASTILLA;3;0;1;0;0;1;1;0;0;0;3;0;2;2;0;0;0;0;0;2;0;0;0
44236;TRONCHON;4;0;1;1;0;1;1;1;1;1;1;0;1;0;1;0;0;0;0;0;0;0;1
44237;URREA DE GAEN;22;1;0;6;2;1;12;1;5;1;14;1;16;0;4;10;0;0;2;1;0;2;13
44238;UTRILLAS;179;11;28;30;12;41;57;3;32;10;112;22;126;0;53;1;4;66;2;1;81;0;44
44239;VALACLOCHE;2;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
44240;VALBONA;3;0;0;2;0;1;0;1;0;0;1;1;1;0;0;0;0;1;0;0;0;0;1
44241;VALDEALGORFA;23;1;4;5;0;3;10;1;2;1;19;0;5;1;3;0;0;1;0;1;1;0;3
44243;VALDECUENCA;2;0;0;1;0;0;1;1;0;0;1;0;3;0;3;0;0;0;0;0;0;3;0
44244;VALDELINARES;1;0;0;0;0;1;0;0;0;0;1;0;13;1;5;0;3;4;0;0;0;0;13
44245;VALDELTORMO;21;0;2;5;2;5;7;2;1;1;16;1;5;0;5;0;0;0;0;1;4;0;0
44246;VALDERROBRES;92;5;18;15;3;22;29;7;13;11;53;8;64;1;28;3;1;30;1;7;16;5;36
44247;VALJUNQUERA;9;0;1;3;1;2;2;0;1;2;5;1;1;0;1;0;0;0;0;1;0;0;0
44249;VALLECILLO, EL;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
44250;VEGUILLAS DE LA SIERRA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
44251;VILLAFRANCA DEL CAMPO;12;0;2;1;2;3;4;0;1;1;9;1;1;0;1;0;0;0;0;0;0;0;1
44252;VILLAHERMOSA DEL CAMPO;4;1;1;0;0;0;2;1;0;0;3;0;1;0;1;0;0;0;0;0;0;1;0
44256;VILLANUEVA DEL REBOLLAR DE LA SIERRA;2;0;1;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
44257;VILLAR DEL COBO;3;0;0;0;0;1;2;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
44258;VILLAR DEL SALZ;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
44260;VILLARLUENGO;5;0;0;3;0;0;2;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
44261;VILLARQUEMADO;35;4;1;7;3;9;11;0;3;3;27;2;3;1;1;0;0;1;0;0;2;0;1
44262;VILLARROYA DE LOS PINARES;2;0;1;0;1;0;0;1;0;0;1;0;2;0;0;0;0;2;0;0;0;0;2
44263;VILLASTAR;13;1;0;2;1;6;3;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0
44264;VILLEL;21;0;5;6;0;5;5;1;2;3;13;2;1;0;1;0;0;0;0;1;0;0;0
44265;VINACEITE;5;0;0;0;0;3;2;1;0;0;4;0;3;0;2;1;0;0;0;1;0;0;2
44266;VISIEDO;4;1;0;1;0;2;0;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
44267;VIVEL DEL RIO MARTIN;3;0;1;1;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
44268;ZOMA, LA;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
45001;AJOFRIN;189;4;29;31;7;39;79;17;59;14;94;5;31;0;15;0;0;16;0;2;16;3;10
45002;ALAMEDA DE LA SAGRA;399;17;45;70;18;109;140;20;42;79;225;33;40;2;24;6;0;7;1;1;12;2;25
45003;ALBARREAL DE TAJO;62;3;6;8;9;18;18;2;3;6;44;7;12;1;7;0;0;4;0;0;3;2;7
45004;ALCABON;76;3;10;13;3;12;35;9;8;2;48;9;6;1;4;0;0;1;0;3;1;0;2
