ID_MUNICIPIO;pct_psoe;pct_pp;pct_vox;pct_cs;pct_up_sumar;pct_erc;pct_jxcat;pct_cup;pct_pnv;pct_ehbildu;pct_bng;pct_cc;pct_prc;pct_naplus;pct_teruel;pct_otros
2032;0.404651;0.306977;0.0;0.0;0.172093;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.116279
2033;0.303748;0.430638;0.000657;0.0;0.138067;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.12689
2034;0.340483;0.349419;0.000894;0.0;0.180518;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.128686
2035;0.35619;0.356825;0.00381;0.0;0.118095;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.165079
2036;0.309859;0.549296;0.0;0.0;0.098592;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.042254
2037;0.315399;0.360728;0.000985;0.0;0.12725;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.195638
2038;0.28821;0.532751;0.0;0.0;0.061135;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.117904
2039;0.384994;0.403444;0.00123;0.0;0.087331;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.123001
2040;0.375;0.414683;0.0;0.0;0.105159;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.105159
2041;0.230769;0.604396;0.0;0.0;0.076923;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.087912
2042;0.432706;0.356006;0.001447;0.0;0.117221;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.092619
2043;0.416834;0.42986;0.0;0.0;0.056112;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.097194
2044;0.428035;0.345432;0.001252;0.0;0.088861;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.136421
2045;0.263579;0.251916;0.001333;0.0;0.171609;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.311563
2046;0.346622;0.397564;0.002215;0.0;0.124031;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.129568
2047;0.21978;0.736264;0.0;0.0;0.043956;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2048;0.343687;0.450902;0.0;0.0;0.09519;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.11022
2049;0.502479;0.33719;0.001653;0.0;0.082645;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.076033
2050;0.252874;0.517241;0.011494;0.0;0.137931;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08046
2051;0.251864;0.583264;0.001657;0.0;0.052196;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.111019
2052;0.389873;0.38481;0.0;0.0;0.081013;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.144304
2053;0.402742;0.33162;0.001285;0.0;0.109683;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.15467
2054;0.29097;0.528428;0.0;0.0;0.076923;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.103679
2055;0.42953;0.361074;0.0;0.0;0.118121;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.091275
2056;0.40167;0.435839;0.000759;0.0;0.056188;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.105543
2057;0.44696;0.24903;0.000647;0.0;0.158473;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14489
