ID_MUNICIPIO;FECHA_ELECCION;V_ANDECHA_2019;V_AVANT_ADELANTE_LOS_VERDES_2019;V_AxS�_2019;V_CAnda_2019;V_CCa-PNC-NC_2019;V_CHA_2019;V_CONTIGO_2019;V_CUP_2019;V_CUP-PR_2019;V_CpM_2019;V_Cs_2019;V_DPL_2019;V_EAJ-PNV_2019;V_ECP-GUANYEM_2019;V_EH_Bildu_2019;V_EXTREMADURA_UNIDA_2019;V_FE_de_las_J_2019;V_FIA_2019;V_GBAI_2019;V_IFem_2019;V_IZAR_2019;V_IZQP_2019;V_JxCAT-JUNTS_2019;V_JxCat_2019;V_MAS_2019;V_MDyC_2019;V_M_PA�S-CHA-_2019;V_M�S-ESQUERR_2019;V_M�S_COMPROM_2019;V_M�S_PA�S_2019;V_M�S_PA�S-EQ_2019;V_P-LIB_2019;V_PACMA_2019;V_PCPE_2019;V_PCTE_2019;V_PDSJE_2019;V_PH_2019;V_PODEMOS-EU_2019;V_PODEMOS-IU_2019;V_PP_2019;V_PPSO_2019;V_PRC_2019;V_PREPAL_2019;V_PSOE_2019;V_PUM+J_2019;V_PYLN_2019;V_RECORTES_CERO-GV_2019;V_RISA_2019;V_SOLIDARIA_2019;V_SOMOS_REGI�_2019;V_SUMAR_2019;V_Teruel_Existe_2019;V_UDT_2019;V_UIG-SOM-CUIDES_2019;V_UNIDOS_S�-A_2019;V_UNI�N_REGIO_2019;V_UPL_2019;V_VERDES_2019;V_VOX_2019;V_XAV_2019;V_centrados_2019;V_�TERUEL_EXI_2019
29058;2019-11;0;0;1;0;0;0;0;0;0;0;96;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;6;0;7;2;0;0;0;0;53;139;0;0;0;339;1;0;0;0;0;0;0;0;0;0;0;0;0;0;329;0;0;0
29059;2019-11;0;0;3;0;0;0;0;0;0;0;71;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;20;0;13;1;1;0;0;0;597;229;0;0;0;745;2;0;0;0;0;0;0;0;0;0;0;0;0;0;192;0;0;0
29060;2019-11;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;157;0;0;0;156;0;0;0;0;0;0;0;0;0;0;0;0;0;0;104;0;0;0
29061;2019-11;0;0;5;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;9;4;0;0;0;0;230;115;0;0;0;197;0;0;2;0;0;0;0;0;0;0;0;0;0;0;159;0;0;0
29062;2019-11;0;0;1;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;11;175;0;0;0;268;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65;0;0;0
29063;2019-11;0;0;1;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;18;80;0;0;0;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52;0;0;0
29064;2019-11;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;1;1;0;0;0;0;19;62;0;0;0;112;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65;0;0;0
29065;2019-11;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;5;27;0;0;0;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52;0;0;0
29066;2019-11;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;36;52;0;0;0;89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47;0;0;0
29067;2019-11;0;0;611;0;0;0;0;0;0;0;27287;0;0;0;0;0;0;0;0;0;0;0;0;487;0;0;0;0;0;0;6223;0;5011;230;149;0;0;0;40503;62818;0;0;0;83901;451;0;546;0;0;0;0;0;0;0;0;0;0;0;56349;0;0;0
