ID_MUNICIPIO;V_BLANCOS_2019;PARTICIPACION_2019
23032;5;80.71833648393195
23033;11;76.0754716981132
23034;15;77.54032258064515
23035;2;78.93789378937895
23037;10;77.7992277992278
23038;21;77.4960380348653
23039;10;69.21658986175116
23040;3;81.7107093184979
23041;1;77.30061349693251
23042;0;75.0
23043;1;69.63249516441006
23044;31;74.40919736001703
23045;10;69.2794547224927
23046;9;80.5484147386461
23047;8;77.21437740693197
23048;4;74.0514075887393
23049;12;69.82758620689656
23050;581;71.98005823700697
23051;16;75.51169590643275
23052;6;84.09506398537478
23053;60;63.887419320706805
23054;1;74.66666666666667
23055;279;66.8264455672151
23056;26;74.67234600262124
23057;7;80.16528925619835
23058;57;73.91304347826086
23059;51;74.00627615062761
23060;145;71.19729307652266
23061;44;69.472182596291
23062;0;77.58865248226951
23063;22;71.32663847780127
23064;9;78.55002995805872
23065;7;69.80392156862744
23066;16;82.28825456247075
23067;14;73.38877338877339
23069;26;79.2557251908397
23070;11;62.52294781012326
23071;10;75.0
23072;3;73.92229909526343
23073;24;73.66490946596379
23074;20;76.1058981233244
23075;19;77.99503414028554
23076;6;78.29457364341084
23077;2;79.80132450331125
23079;19;73.4271523178808
23080;6;76.33720930232558
23081;9;72.55689424364124
23082;13;69.83783783783784
23084;4;69.51219512195121
23085;7;73.0999539382773
23086;81;69.86960707097226
23087;79;73.35482138060704
23088;61;75.27006814026925
23090;6;79.15282392026577
23091;1;76.44444444444444
23092;217;71.2497294177069
23093;24;72.58736774607246
23094;29;78.09574752607648
23095;37;71.85859292964648
23096;16;79.78765237907983
23097;31;66.8610148124803
23098;0;83.11688311688312
23099;35;73.03067993366501
23101;3;67.80626780626781
23901;3;80.44444444444444
23902;6;81.70347003154575
23903;28;75.2715837621498
23904;10;61.59533073929961
23905;12;72.21006564551422
29001;40;71.35726170667934
29002;6;67.97900262467192
29003;4;73.90829694323145
29004;3;78.4452296819788
29005;29;66.82937652540492
29006;4;67.8939617083947
29007;254;70.47082021655655
29008;108;68.17496229260935
29009;17;67.66550522648083
29010;2;77.15332926084301
29011;12;60.94020048392672
29012;85;68.57378061329491
29013;9;73.83756974581524
29014;3;55.96330275229357
29015;253;68.68787586077961
29016;0;77.4703557312253
29017;48;71.43972517176765
29018;17;70.73170731707317
29019;2;70.80890973036342
29020;22;71.04942037827944
29021;1;71.61290322580646
29022;1;77.40112994350282
29023;11;61.84549356223176
29024;3;58.22102425876011
29025;271;65.40526227100936
29026;15;68.85406464250735
29027;13;66.36559139784947
29028;9;66.09053497942386
29029;4;66.84073107049609
29030;4;80.25974025974027
29031;6;65.27331189710611
29032;36;73.62885048835463
29033;5;67.619926199262
29034;2;72.23427331887203
29035;3;71.31258457374831
29036;1;64.00651465798045
29037;1;72.55813953488372
29038;197;64.11042944785275
29039;23;68.86553098948895
29040;11;65.18365235385411
29041;47;65.07979442791452
29042;95;67.13972302207596
29043;20;61.226146975233455
29044;1;63.684913217623496
29045;5;69.20786182251341
29046;13;69.24619085805934
29047;0;79.48243992606284
29048;8;77.19941348973607
29049;12;71.5916955017301
29050;3;58.41836734693877
29051;282;64.55903271692746
29052;0;60.56338028169014
29053;12;65.98718695398952
29054;225;66.01156612910809
29055;3;75.3171247357294
29056;5;67.621776504298
29057;2;67.27272727272727
29058;5;64.46173800259403
29059;16;73.25319308790384
29060;1;68.27067669172932
29061;9;76.98945349952061
29062;2;84.65045592705167
29063;2;80.0
29064;2;68.79432624113475
29065;3;75.91623036649214
29066;1;69.46778711484593
29067;3289;67.35857141202766
29068;50;62.51755393846546
29069;633;61.95692067715741
29070;290;63.342947397335536
29071;11;59.183673469387756
29072;19;71.71072622303252
29073;15;65.29873264936631
29074;1;72.76264591439688
29075;63;64.34890578922861
29076;21;63.63636363636363
29077;1;65.21739130434783
29079;12;69.17454858125538
29080;36;67.37752161383285
29081;2;74.0
29082;263;71.36349220079
29083;14;71.3039263208919
29084;268;66.55391742343468
29085;1;71.01449275362319
29086;5;62.20779220779221
29087;4;68.59504132231406
29088;15;67.57158795091112
29089;13;72.08413001912047
29090;10;69.01152213462704
29091;61;67.73445732349842
29092;7;65.10416666666666
29093;8;71.76744186046513
29094;454;65.80817794129943
29095;39;70.41095890410959
29096;19;66.9931084512151
29097;56;69.03846153846153
29098;11;73.45276872964169
29099;11;71.00103199174407
29100;22;66.49852879361076
29901;307;65.44451147306567
29902;15;60.20053991515619
29903;2;67.21649484536083
29904;1;78.4688995215311
41001;6;72.46469833119383
41002;7;66.00985221674877
41003;18;73.61989043404972
41004;696;66.86773092056228
41005;83;71.4808831448573
41006;17;64.98353457738749
41007;126;61.31486226777707
41008;3;75.47892720306514
41009;5;65.33101045296166
41010;42;70.17008286088094
41011;183;71.26042811873504
41012;26;66.93333333333334
41013;41;65.63275434243177
41014;10;74.79806138933765
41015;41;69.62771839292297
41016;57;70.62659846547315
41017;158;72.2072043754322
41018;86;68.52205258693809
41019;39;67.38998174812411
41020;135;62.61912081155856
41021;195;67.11036383167531
41022;32;64.27732079905994
41023;60;68.75859482435305
41024;169;64.71645192391972
41025;11;69.37469226981783
41026;26;77.98698279869828
41027;33;65.58522585475419
41028;22;78.36812144212524
41029;134;72.84763313609467
41030;9;75.0499001996008
41031;5;64.78405315614619
41032;24;72.87870900572618
41033;38;66.53892698668818
41034;264;65.57940278249067
41035;10;69.74310180780209
41036;35;69.38252626184986
41037;22;72.03998750390504
41038;980;69.62881501090004
41039;278;70.00443908935253
41040;71;74.66249441215915
41041;63;73.44598054275474
41042;42;76.24318801089919
41043;11;66.81614349775785
41044;55;72.69444086160196
41045;53;66.42261195300529
41046;11;74.5757071547421
41047;119;75.45219638242894
41048;13;65.77150659990897
41049;115;73.15817130846033
