Cod_Muni;Nombre_Muni;Media de la renta por unidad de consumo 2015;Media de la renta por unidad de consumo 2016;Media de la renta por unidad de consumo 2017;Media de la renta por unidad de consumo 2018;Media de la renta por unidad de consumo 2019;Media de la renta por unidad de consumo 2020;Media de la renta por unidad de consumo 2021;Media de la renta por unidad de consumo 2022;Media de la renta por unidad de consumo 2023;Mediana de la renta por unidad de consumo 2015;Mediana de la renta por unidad de consumo 2016;Mediana de la renta por unidad de consumo 2017;Mediana de la renta por unidad de consumo 2018;Mediana de la renta por unidad de consumo 2019;Mediana de la renta por unidad de consumo 2020;Mediana de la renta por unidad de consumo 2021;Mediana de la renta por unidad de consumo 2022;Mediana de la renta por unidad de consumo 2023;Renta bruta media por hogar 2015;Renta bruta media por hogar 2016;Renta bruta media por hogar 2017;Renta bruta media por hogar 2018;Renta bruta media por hogar 2019;Renta bruta media por hogar 2020;Renta bruta media por hogar 2021;Renta bruta media por hogar 2022;Renta bruta media por hogar 2023;Renta bruta media por persona 2015;Renta bruta media por persona 2016;Renta bruta media por persona 2017;Renta bruta media por persona 2018;Renta bruta media por persona 2019;Renta bruta media por persona 2020;Renta bruta media por persona 2021;Renta bruta media por persona 2022;Renta bruta media por persona 2023;Renta neta media por hogar 2015;Renta neta media por hogar 2016;Renta neta media por hogar 2017;Renta neta media por hogar 2018;Renta neta media por hogar 2019;Renta neta media por hogar 2020;Renta neta media por hogar 2021;Renta neta media por hogar 2022;Renta neta media por hogar 2023;Renta neta media por persona 2015;Renta neta media por persona 2016;Renta neta media por persona 2017;Renta neta media por persona 2018;Renta neta media por persona 2019;Renta neta media por persona 2020;Renta neta media por persona 2021;Renta neta media por persona 2022;Renta neta media por persona 2023
13074;San Carlos del Valle;10517.0;11404.0;11650.0;12435.0;13196.0;12798.0;13780.0;14281.0;15350.0;9450.0;10850.0;10150.0;10850.0;12250.0;11550.0;12950.0;12950.0;13650.0;20426.0;21934.0;22459.0;24260.0;25426.0;24617.0;26831.0;27588.0;29626.0;7489.0;8247.0;8506.0;9057.0;9540.0;9365.0;10126.0;10575.0;11386.0;18664.0;19867.0;20228.0;21749.0;22943.0;22161.0;24082.0;24078.0;26437.0;6843.0;7470.0;7661.0;8119.0;8609.0;8431.0;9089.0;9230.0;10160.0
13075;San Lorenzo de Calatrava;12133.0;12780.0;14139.0;13554.0;14441.0;15986.0;15302.0;17068.0;17562.0;9450.0;10850.0;12950.0;12250.0;12950.0;13650.0;14350.0;16450.0;16450.0;21355.0;22458.0;24789.0;24313.0;24837.0;26939.0;24866.0;27116.0;28737.0;9856.0;10333.0;11056.0;10666.0;11518.0;12895.0;12074.0;14171.0;14587.0;19402.0;20414.0;22439.0;22048.0;22428.0;24199.0;22332.0;23920.0;25519.0;8955.0;9392.0;10008.0;9672.0;10401.0;11583.0;10844.0;12501.0;12954.0
13076;Santa Cruz de los Cáñamos;9565.0;9696.0;9971.0;10237.0;10507.0;10749.0;11262.0;12076.0;12962.0;8750.0;8750.0;8750.0;9450.0;9450.0;9450.0;10150.0;10850.0;11550.0;17050.0;17208.0;17296.0;17906.0;18441.0;19035.0;19964.0;21422.0;22454.0;7001.0;7213.0;7398.0;7659.0;7949.0;8110.0;8506.0;9325.0;10119.0;16080.0;16183.0;16157.0;16723.0;17063.0;17571.0;18391.0;19702.0;20624.0;6602.0;6784.0;6911.0;7153.0;7355.0;7486.0;7836.0;8577.0;9294.0
13077;Santa Cruz de Mudela;11412.5;11708.125;12265.5;12840.25;13595.625;13361.25;14456.0;15418.125;16243.125;9887.5;10062.5;10850.0;11637.5;12075.0;11987.5;12950.0;14175.0;14525.0;21881.375;22322.25;23302.0;24254.25;25662.625;24965.875;26954.875;28607.75;30301.75;8593.75;8855.75;9366.875;9775.75;10352.125;10240.875;11148.5;11942.0;12756.5;19486.5;19844.875;20590.75;21479.75;22709.5;22033.875;23715.625;25097.625;26483.125;7654.5;7872.75;8276.875;8657.0;9160.5;9037.375;9808.875;10476.75;11148.125
13078;Socuéllamos;10926.214285714286;11228.714285714286;12210.714285714286;12908.07142857143;13374.142857142857;13284.0;14199.142857142857;14818.0;15674.214285714286;9450.0;9750.0;10800.0;11450.0;12000.0;11975.0;12400.0;13450.0;14150.0;22572.571428571428;23771.785714285714;24969.071428571428;26435.571428571428;27381.285714285714;27166.85714285714;29047.428571428572;30339.85714285714;32648.785714285714;7940.5;8179.214285714285;8992.357142857143;9614.357142857143;9985.357142857143;9989.0;10747.57142857143;11269.92857142857;12287.785714285714;20104.14285714286;21073.85714285714;22039.928571428572;23173.285714285714;24005.285714285714;23842.928571428572;25253.64285714286;26285.5;27772.214285714286;7068.214285714285;7249.142857142857;7933.5;8423.5;8750.5;8764.357142857143;9339.142857142857;9759.07142857143;10449.07142857143
13079;Solana, La;10935.117647058823;11668.941176470587;12346.941176470587;13333.470588235294;13735.35294117647;13864.235294117647;14513.117647058823;15452.117647058823;16441.58823529412;9532.35294117647;10273.529411764706;10788.235294117647;11817.64705882353;12332.35294117647;12394.117647058823;13073.529411764706;14020.588235294117;14885.29411764706;23025.58823529412;24564.235294117647;25995.29411764706;28012.529411764706;28717.470588235294;29096.70588235294;30533.058823529413;32336.823529411766;34681.470588235294;7869.764705882353;8433.29411764706;8975.0;9753.823529411764;10041.764705882353;10209.117647058823;10746.64705882353;11553.35294117647;12485.0;20664.647058823528;21895.352941176472;23096.529411764706;24733.29411764706;25379.117647058825;25606.0;26574.0;28065.70588235294;29868.882352941175;7060.235294117647;7514.0;7972.294117647059;8611.0;8873.764705882353;8983.235294117647;9349.764705882353;10027.235294117647;10751.823529411764
13080;Solana del Pino;10949.0;11615.0;11703.0;12305.0;13356.0;13848.0;16246.0;16333.0;16951.0;9450.0;9450.0;10150.0;10850.0;11550.0;12250.0;12950.0;13650.0;15050.0;17614.0;18829.0;18470.0;18711.0;20448.0;21569.0;25875.0;25813.0;26958.0;8833.0;9387.0;9459.0;10253.0;11309.0;11873.0;13890.0;14166.0;14876.0;16176.0;17112.0;16771.0;16790.0;18453.0;19427.0;23101.0;22885.0;23692.0;8112.0;8531.0;8589.0;9201.0;10206.0;10694.0;12401.0;12559.0;13074.0
13081;Terrinches;8763.0;9054.0;9978.0;10160.0;11484.0;11074.0;11988.0;12713.0;14274.0;8050.0;8050.0;8750.0;9450.0;9450.0;9450.0;10150.0;10850.0;12250.0;15549.0;16045.0;17155.0;17185.0;18688.0;18122.0;20315.0;20830.0;23689.0;6526.0;6867.0;7464.0;7584.0;8471.0;8307.0;9122.0;9794.0;11284.0;14489.0;14921.0;15886.0;15955.0;17225.0;16766.0;18717.0;19154.0;21553.0;6081.0;6386.0;6912.0;7042.0;7808.0;7685.0;8405.0;9006.0;10267.0
13082;Tomelloso;11621.586206896553;11942.344827586207;12756.172413793103;13661.48275862069;14091.241379310344;14188.758620689656;14757.965517241379;15609.931034482759;16338.344827586207;10029.310344827587;10318.965517241379;11187.931034482759;12008.620689655172;12503.448275862069;12479.310344827587;13046.551724137931;13855.172413793103;14615.51724137931;23872.41379310345;24845.96551724138;25927.58620689655;27585.103448275862;28617.655172413793;28604.689655172413;29732.103448275862;31605.51724137931;33651.06896551724;8623.275862068966;8875.137931034482;9552.758620689656;10311.827586206897;10705.793103448275;10787.448275862069;11289.0;12014.206896551725;12774.586206896553;20966.896551724138;21766.310344827587;22637.793103448275;23927.0;24779.310344827587;24731.344827586207;25566.241379310344;27071.793103448275;28557.41379310345;7567.103448275862;7769.758620689655;8334.48275862069;8936.586206896553;9261.965517241379;9319.344827586207;9699.793103448275;10283.620689655172;10829.068965517241
13083;Torralba de Calatrava;11438.833333333334;12063.666666666666;12697.333333333334;13359.833333333334;13672.5;13966.333333333334;14780.333333333334;15360.833333333334;16548.0;10033.333333333334;10616.666666666666;11550.0;11900.0;12483.333333333334;12600.0;13416.666666666666;14233.333333333334;15166.666666666666;21450.0;22660.166666666668;23659.166666666668;25291.833333333332;25601.833333333332;26032.333333333332;27820.0;28812.666666666668;31486.333333333332;8483.166666666666;9000.666666666666;9466.666666666666;10041.166666666666;10254.0;10513.166666666666;11197.333333333334;11604.333333333334;12826.0;19495.333333333332;20482.333333333332;21261.833333333332;22654.0;22886.833333333332;23280.5;24696.833333333332;25393.5;27573.333333333332;7709.0;8134.0;8506.5;8992.333333333334;9164.5;9399.833333333334;9939.0;10226.0;11230.833333333334
13084;Torre de Juan Abad;10306.0;10973.0;11290.0;12136.0;12539.0;12581.0;13229.0;13773.0;14661.0;8750.0;9450.0;9450.0;10150.0;10150.0;10850.0;10850.0;11550.0;12950.0;18508.0;19310.0;19621.0;21094.0;21658.0;21998.0;23251.0;24265.0;25895.0;7831.0;8380.0;8671.0;9449.0;9720.0;9802.0;10235.0;10712.0;11580.0;16955.0;17631.0;17966.0;19246.0;19579.0;19910.0;21024.0;21988.0;23366.0;7174.0;7652.0;7940.0;8621.0;8787.0;8872.0;9255.0;9707.0;10448.0
13085;Torrenueva;9633.6;10292.6;11255.2;11545.8;12246.8;12354.0;13163.0;13482.0;14574.4;8750.0;9310.0;10010.0;10710.0;10990.0;10990.0;11690.0;12250.0;13090.0;18270.8;19625.6;21410.4;21469.0;22858.2;23062.2;24968.0;25643.4;28281.8;7002.4;7568.6;8270.4;8448.6;9014.4;9113.8;9810.8;10080.6;11023.2;16874.6;17953.6;19512.2;19505.2;20740.0;20872.4;22477.6;23085.0;25249.6;6467.0;6923.2;7537.0;7675.6;8179.6;8247.6;8832.2;9073.8;9840.2
13086;Valdemanco del Esteras;11270.0;11542.0;12030.0;12722.0;12807.0;12521.0;14670.0;16118.0;15684.0;10150.0;10150.0;10850.0;10850.0;10850.0;10850.0;13650.0;15400.0;15050.0;17709.0;17625.0;18394.0;19425.0;20025.0;19794.0;22601.0;24270.0;23379.0;8763.0;9209.0;9687.0;10115.0;10672.0;10444.0;12202.0;13804.0;13465.0;16632.0;16500.0;17156.0;18197.0;18134.0;18072.0;20559.0;22132.0;21473.0;8230.0;8621.0;9035.0;9475.0;9664.0;9535.0;11100.0;12588.0;12367.0
13087;Valdepeñas;13597.222222222223;14049.62962962963;14509.703703703704;15159.555555555555;15691.037037037036;15832.444444444445;16473.925925925927;17436.37037037037;18361.703703703704;11835.185185185184;12107.407407407407;12483.333333333334;13222.222222222223;13779.62962962963;13922.222222222223;14531.481481481482;15361.111111111111;16242.592592592593;27419.185185185186;28469.925925925927;29556.333333333332;30533.14814814815;31520.11111111111;31927.48148148148;33078.74074074074;34887.0;37113.7037037037;10313.481481481482;10739.592592592593;11187.074074074075;11738.25925925926;12170.962962962964;12364.925925925925;12939.296296296296;13798.296296296296;14738.444444444445;23591.85185185185;24457.11111111111;25305.14814814815;26137.925925925927;26891.444444444445;27210.925925925927;28074.925925925927;29531.0;31299.11111111111;8869.851851851852;9222.962962962964;9577.148148148148;10048.296296296296;10385.296296296296;10541.111111111111;10982.851851851852;11682.74074074074;12433.518518518518
13088;Valenzuela de Calatrava;10999.0;11730.0;12352.0;12501.0;13126.0;13426.0;14583.0;15478.0;16388.0;9800.0;10150.0;10150.0;10850.0;11550.0;12250.0;12950.0;13650.0;14350.0;20754.0;21782.0;23061.0;23643.0;24287.0;25184.0;26866.0;27875.0;29785.0;8302.0;8707.0;9265.0;9519.0;9960.0;10273.0;11194.0;12069.0;12876.0;18856.0;19688.0;20728.0;21303.0;21893.0;22502.0;23942.0;24887.0;26383.0;7542.0;7869.0;8327.0;8576.0;8978.0;9179.0;9976.0;10775.0;11406.0
13089;Villahermosa;11360.8;11492.6;12010.0;12778.0;13306.0;13879.8;14643.6;15390.2;16205.8;9590.0;9590.0;10430.0;11410.0;11690.0;12110.0;12950.0;13650.0;14280.0;20011.6;20008.0;20882.4;22252.2;23408.0;24222.4;25225.6;26329.4;28447.8;8786.4;8883.2;9427.4;10028.4;10554.8;11066.0;11629.4;12224.6;13169.6;18122.0;18132.2;18821.8;19842.8;20910.8;21508.2;22430.0;22983.6;24888.2;7954.2;8049.0;8495.2;8939.4;9426.0;9823.2;10338.6;10668.6;11517.8
13090;Villamanrique;10180.0;10633.75;11109.25;11310.5;11991.0;11927.5;12732.5;14018.0;14707.0;9450.0;9275.0;9625.0;9975.0;10675.0;10675.0;11375.0;12250.0;12950.0;18434.0;19074.25;19889.0;20088.25;21340.75;21057.25;22208.5;24325.0;25763.0;7581.0;8059.25;8360.75;8630.75;9156.0;9112.5;9674.75;10699.0;11426.0;17188.25;17628.5;18390.25;18516.75;19730.25;19415.0;20406.75;22310.0;23496.0;7069.25;7449.0;7731.5;7956.75;8465.75;8403.0;8890.25;9812.0;10420.0
