Código;Distribución de la renta P80/P20;Índice de Gini;Media de la renta por unidad de consumo;Mediana de la renta por unidad de consumo;Renta bruta media por hogar;Renta bruta media por persona;Renta neta media por hogar;Renta neta media por persona
02082;2.9;35.6;17627.0;15750.0;26808.0;16132.0;23160.0;13937.0
02083;2.3;28.2;17296.0;14350.0;27784.0;14717.0;24619.0;13041.0
02084;2.3;26.1;14700.0;12950.0;23437.0;12258.0;20989.0;10978.0
02085;2.3;27.1;18013.0;16450.0;30132.0;15167.0;26390.0;13283.0
02086;2.1;27.4;16186.0;14350.0;26937.0;13016.0;24197.0;11691.0
02901;2.2;24.7;17440.0;15750.0;35105.0;13460.0;30181.0;11572.0
03001;3.5;32.7;19182.0;18550.0;36750.0;16256.0;30891.0;13664.0
03002;2.4;27.4;17725.0;16450.0;35599.0;13918.0;30407.0;11888.0
03003;2.5;28.8;20358.0;18550.0;36981.0;16764.0;31440.0;14252.0
03004;3.0;34.1;20000.0;18550.0;40027.0;16961.0;32937.0;13957.0
03005;2.4;28.6;15904.0;14350.0;34051.0;12054.0;29376.0;10399.0
03006;2.6;33.3;17777.0;15750.0;32389.0;14772.0;27781.0;12670.0
03007;2.5;33.6;22316.0;19250.0;45205.0;19478.0;36765.0;15842.0
03008;2.3;25.7;19862.0;19600.0;34280.0;15256.0;30274.0;13474.0
03009;2.4;29.6;19276.0;17150.0;37777.0;15864.0;31566.0;13256.0
03010;2.2;25.4;19939.0;17850.0;37959.0;16171.0;32244.0;13737.0
03011;2.9;34.5;18160.0;16450.0;39443.0;14761.0;32799.0;12274.0
03012;2.7;32.1;15794.0;14350.0;29855.0;12631.0;25840.0;10933.0
03013;2.3;27.4;16517.0;15750.0;31378.0;13112.0;27429.0;11462.0
03014;3.3;35.7;20118.0;17150.0;43048.0;16858.0;34936.0;13681.0
03015;3.0;32.5;15366.0;13650.0;33018.0;11823.0;28217.0;10104.0
03016;2.2;31.6;21807.0;18550.0;36280.0;17816.0;32049.0;15738.0
03017;2.0;25.5;20254.0;19250.0;41192.0;16087.0;34870.0;13618.0
03018;2.8;34.4;18886.0;16450.0;40279.0;15547.0;33220.0;12822.0
03019;2.4;28.5;16962.0;15050.0;34766.0;13181.0;29736.0;11274.0
03020;2.2;25.3;20071.0;16450.0;36631.0;17594.0;30790.0;14789.0
03021;2.2;27.0;19828.0;17850.0;41089.0;16141.0;33238.0;13057.0
03022;2.0;44.2;36668.0;20300.0;71436.0;32316.0;56139.0;25396.0
03023;2.4;27.6;20935.0;18550.0;41240.0;16903.0;34579.0;14173.0
03024;2.3;27.9;16325.0;15050.0;34492.0;12336.0;29657.0;10607.0
03025;2.1;27.9;17357.0;16450.0;36141.0;13496.0;30649.0;11445.0
03026;2.4;28.3;18249.0;16450.0;37403.0;14765.0;31242.0;12333.0
03027;2.9;29.3;19583.0;19250.0;37708.0;16160.0;31910.0;13676.0
03028;2.1;24.8;18271.0;16450.0;32577.0;14700.0;28556.0;12886.0
03029;4.1;38.4;17565.0;15050.0;33652.0;14622.0;28380.0;12331.0
03030;3.1;34.0;18159.0;16450.0;35378.0;15176.0;29822.0;12793.0
03031;2.8;32.6;17600.0;15750.0;34607.0;14560.0;29146.0;12263.0
03032;2.6;27.2;26951.0;27300.0;48424.0;24212.0;38870.0;19435.0
03033;2.0;27.2;19224.0;17150.0;33430.0;16096.0;29044.0;13984.0
03034;2.3;29.3;17378.0;15750.0;34630.0;14066.0;29285.0;11895.0
03035;2.6;28.3;19395.0;17850.0;36104.0;16101.0;30895.0;13778.0
03036;2.1;23.5;23372.0;20650.0;49121.0;18648.0;41206.0;15643.0
03037;2.2;28.3;16979.0;16100.0;31908.0;13912.0;27466.0;11975.0
03038;2.2;27.1;24262.0;19950.0;49595.0;22312.0;39672.0;17848.0
03039;;;;;;;;
03040;2.8;29.6;18051.0;15750.0;34465.0;14578.0;29213.0;12356.0
03041;2.7;33.6;18666.0;16450.0;39303.0;15107.0;32509.0;12496.0
03042;3.1;35.9;17376.0;15050.0;35092.0;14429.0;29337.0;12063.0
