ID_MUNICIPIO;FECHA_ELECCION;V_ALCD_2016;V_C's_2016;V_CCD_2016;V_CCD-CI_2016;V_CCa-PNC_2016;V_CCa-PNC-NC_2016;V_CILUS_2016;V_CUP_2016;V_EAJ-PNV_2016;V_EB_2016;V_ECP_2016;V_ENTABAN_2016;V_ERC-CATSÍ_2016;V_FE_2016;V_FE_de_las_J_2016;V_FME_2016;V_IMC_2016;V_INDEPENDIEN_2016;V_IZAR_2016;V_JXC_2016;V_Ln_2016;V_MAS_2016;V_PACMA_2016;V_PCOE_2016;V_PCPE_2016;V_PFyV_2016;V_PH_2016;V_PODEMOS-COM_2016;V_PODEMOS-EN_MAREA-ANOVA-EU_2016;V_PODEMOS-IU-EQUO_2016;V_PP_2016;V_PREPAL_2016;V_PSOE_2016;V_PUEDE_2016;V_PxC_2016;V_RECORTES_CERO-GRUPO_VERDE_2016;V_REPO_2016;V_SAIn_2016;V_SI_2016;V_SOMVAL_2016;V_SUMAR_2016;V_Teruel_Existe_2016;V_UDT_2016;V_UNIDAD_DEL_PUEBLO_2016;V_UPL_2016;V_UPyD_2016;V_VOX_2016
46127;2016-06;0;171;10;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;24;0;3;0;0;627;0;0;737;0;487;0;0;4;0;0;0;5;0;0;0;0;0;2;0
46128;2016-06;0;140;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;1;0;0;331;0;0;481;0;276;0;0;0;0;0;0;2;0;0;0;0;0;2;2
46129;2016-06;0;21;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;175;0;0;94;0;105;0;0;0;0;0;0;1;0;0;0;0;0;2;1
46130;2016-06;0;63;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;1;0;0;218;0;0;218;0;162;0;0;5;0;0;0;2;0;0;0;0;0;4;0
46131;2016-06;0;4934;120;0;0;0;0;12;0;0;0;0;0;0;44;0;0;0;0;0;0;0;510;0;33;0;0;9091;0;0;13854;0;7024;0;0;54;8;0;0;128;0;0;0;0;0;89;95
46132;2016-06;0;229;2;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;14;0;2;0;0;461;0;0;705;0;351;0;0;0;2;0;0;0;0;0;0;0;0;3;4
46133;2016-06;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;55;0;0;140;0;188;0;0;0;0;0;0;0;0;0;0;0;0;0;0
46134;2016-06;0;256;2;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;32;0;2;0;0;553;0;0;516;0;314;0;0;3;1;0;0;2;0;0;0;0;0;6;7
46135;2016-06;0;1249;12;0;0;0;0;5;0;0;0;0;0;0;5;0;0;0;0;0;0;0;88;0;8;0;0;2177;0;0;2745;0;1244;0;0;14;0;0;0;16;0;0;0;0;0;21;14
46136;2016-06;0;244;8;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;22;0;4;0;0;544;0;0;628;0;454;0;0;4;0;0;0;1;0;0;0;0;0;1;6
