ID_MUNICIPIO;FECHA_ELECCION;V_ALCD_2016;V_AND_2016;V_BNG-NÓS_2016;V_C's_2016;V_CCD_2016;V_CCD-CI_2016;V_CCa-PNC_2016;V_CDC_2016;V_CENTRO_MODERADO_2016;V_CILUS_2016;V_EAJ-PNV_2016;V_EB_2016;V_EB-AZ_2016;V_ECP_2016;V_EH_Bildu_2016;V_ENTABAN_2016;V_ERC-CATSÍ_2016;V_FE_2016;V_FE_de_las_J_2016;V_FME_2016;V_GBAI_2016;V_HRTS-Ln_2016;V_IMC_2016;V_INDEPENDIEN_2016;V_IZAR_2016;V_JXC_2016;V_Ln_2016;V_MAS_2016;V_P-LIB_2016;V_PACMA_2016;V_PCOE_2016;V_PCPC_2016;V_PCPE_2016;V_PFyV_2016;V_PH_2016;V_PODEMOS-COM_2016;V_PODEMOS-EN_MAREA-ANOVA-EU_2016;V_PODEMOS-EUI_2016;V_PODEMOS-IU-_2016;V_PODEMOS-IU-EQUO_2016;V_PODEMOS-IU-EQUO-BATZARRE_2016;V_PODEMOS-IU-EQUO-CLIAS_2016;V_PODEMOS-IU-EQUO-IZCA_2016;V_PODEMOS-IU-EQUO-SEGOVIEMOS_2016;V_PODEMOS/AHAL_DUGU-IU-EQUO_2016;V_PP_2016;V_PP-FORO_2016;V_PP-PAR_2016;V_PREPAL_2016;V_PSC-PSOE_2016;V_PSE-EE_(PSOE)_2016;V_PSOE_2016;V_PSOE-NCa_2016;V_PSdeG-PSOE_2016;V_PUEDE_2016;V_PxC_2016;V_RECORTES_CERO-GRUPO_VERDE_2016;V_REPO_2016;V_SAIn_2016;V_SI_2016;V_SOMVAL_2016;V_UDT_2016;V_UNIDAD_DEL_PUEBLO_2016;V_UNIDOS_PODEMOS_2016;V_UPL_2016;V_UPN-PP_2016;V_UPyD_2016;V_VOX_2016
25044;2016-06;0;0;0;5;0;0;0;41;0;0;0;0;0;13;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25045;2016-06;0;0;0;2;0;0;0;4;0;0;0;0;0;3;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;17;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
25046;2016-06;0;0;0;9;0;0;0;72;0;0;0;0;0;36;0;0;98;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;0;0;0;18;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
25047;2016-06;0;0;0;29;0;0;0;231;0;0;0;0;0;66;0;0;239;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46;0;0;0;51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25048;2016-06;0;0;0;53;0;0;0;295;0;0;0;0;0;117;0;0;337;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;122;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25049;2016-06;0;0;0;7;0;0;0;47;0;0;0;0;0;11;0;0;27;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25050;2016-06;0;0;0;75;0;0;0;565;0;0;0;0;0;273;0;0;600;0;0;0;0;0;0;0;0;0;0;0;0;12;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;190;0;0;0;161;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;3
25051;2016-06;0;0;0;53;0;0;0;260;0;0;0;0;0;128;0;0;318;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75;0;0;0;67;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
25052;2016-06;0;0;0;28;0;0;0;284;0;0;0;0;0;121;0;0;411;0;0;0;0;0;0;0;0;0;0;0;0;8;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;68;0;0;0;79;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
25053;2016-06;0;0;0;39;0;0;0;187;0;0;0;0;0;99;0;0;176;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;76;0;0;0;73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25055;2016-06;0;0;0;5;0;0;0;53;0;0;0;0;0;9;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25056;2016-06;0;0;0;1;0;0;0;56;0;0;0;0;0;23;0;0;39;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25057;2016-06;0;0;0;22;0;0;0;13;0;0;0;0;0;34;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;22;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
25058;2016-06;0;0;0;92;0;0;0;755;0;0;0;0;0;358;0;0;901;0;0;0;0;0;0;0;0;0;0;0;0;29;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;215;0;0;0;214;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;3
25059;2016-06;0;0;0;67;0;0;0;50;0;0;0;0;0;61;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;145;0;0;0;159;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
25060;2016-06;0;0;0;0;0;0;0;17;0;0;0;0;0;5;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25061;2016-06;0;0;0;2;0;0;0;26;0;0;0;0;0;2;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;5;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
25062;2016-06;0;0;0;23;0;0;0;131;0;0;0;0;0;68;0;0;169;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;36;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
25063;2016-06;0;0;0;7;0;0;0;6;0;0;0;0;0;5;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
25064;2016-06;0;0;0;1;0;0;0;32;0;0;0;0;0;4;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25067;2016-06;0;0;0;31;0;0;0;100;0;0;0;0;0;71;0;0;132;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;91;0;0;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25068;2016-06;0;0;0;8;0;0;0;157;0;0;0;0;0;34;0;0;81;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
25069;2016-06;0;0;0;7;0;0;0;68;0;0;0;0;0;35;0;0;86;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;17;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
25070;2016-06;0;0;0;16;0;0;0;185;0;0;0;0;0;61;0;0;170;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;0;0;0;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
